# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Rv1321	Rv1321	CCP44078	protein_coding	0	0	1	11	0	0	0	0	2	0	1	0	0	0	0	0	0	0	9
Rv1322	Rv1322	CCP44079	protein_coding	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10
Rv1322A	Rv1322A	CCP44080	protein_coding	0	0	0	11	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2
Rv1324	Rv1324	CCP44082	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Rv1331	Rv1331	CCP44089	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
Rv1332	Rv1332	CCP44090	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Rv1333	Rv1333	CCP44091	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
Rv1337	Rv1337	CCP44095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1339	Rv1339	CCP44097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1342c	Rv1342c	CCP44100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1352	Rv1352	CCP44110	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1353c	Rv1353c	CCP44111	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1354c	Rv1354c	CCP44112	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1356c	Rv1356c	CCP44114	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1357c	Rv1357c	CCP44115	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1358	Rv1358	CCP44116	protein_coding	0	1	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1
Rv1359	Rv1359	CCP44117	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
Rv1360	Rv1360	CCP44118	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
Rv1362c	Rv1362c	CCP44120	protein_coding	0	1	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1
Rv1363c	Rv1363c	CCP44121	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
Rv1364c	Rv1364c	CCP44122	protein_coding	0	0	1	6	0	0	0	0	4	0	1	0	0	0	0	0	0	0	2
Rv1366	Rv1366	CCP44124	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
Rv1366A	Rv1366A	CCP44125	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1367c	Rv1367c	CCP44126	protein_coding	0	1	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1
Rv1369c	Rv1369c	CCP44128	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1370c	Rv1370c	CCP44129	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1371	Rv1371	CCP44130	protein_coding	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2
Rv1372	Rv1372	CCP44131	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1373	Rv1373	CCP44132	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
Rv1374c	Rv1374c	CCP44133	protein_coding	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
Rv1375	Rv1375	CCP44134	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1376	Rv1376	CCP44135	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Rv1377c	Rv1377c	CCP44136	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1378c	Rv1378c	CCP44137	protein_coding	0	0	2	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2
Rv1382	Rv1382	CCP44141	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1393c	Rv1393c	CCP44152	protein_coding	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10
Rv1395	Rv1395	CCP44154	protein_coding	0	0	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1
Rv1401	Rv1401	CCP44160	protein_coding	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9
Rv1403c	Rv1403c	CCP44162	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1404	Rv1404	CCP44163	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1405c	Rv1405c	CCP44164	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1410c	Rv1410c	CCP44169	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1413	Rv1413	CCP44172	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1414	Rv1414	CCP44173	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1417	Rv1417	CCP44176	protein_coding	0	0	1	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2
Rv1419	Rv1419	CCP44178	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Rv1421	Rv1421	CCP44180	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Rv1422	Rv1422	CCP44181	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Rv1424c	Rv1424c	CCP44183	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Rv1425	Rv1425	CCP44184	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1428c	Rv1428c	CCP44187	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1429	Rv1429	CCP44188	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Rv1431	Rv1431	CCP44190	protein_coding	0	1	1	3	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0
Rv1432	Rv1432	CCP44191	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1433	Rv1433	CCP44192	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1434	Rv1434	CCP44193	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1435c	Rv1435c	CCP44194	protein_coding	0	0	1	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2
Rv1439c	Rv1439c	CCP44198	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1443c	Rv1443c	CCP44202	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1444c	Rv1444c	CCP44203	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1453	Rv1453	CCP44212	protein_coding	0	1	1	26	0	0	0	0	0	0	1	0	0	0	0	0	0	1	26
Rv1455	Rv1455	CCP44214	protein_coding	0	0	0	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	28
Rv1456c	Rv1456c	CCP44215	protein_coding	0	0	0	27	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1
Rv1457c	Rv1457c	CCP44216	protein_coding	0	0	0	9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
Rv1458c	Rv1458c	CCP44217	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1459c	Rv1459c	CCP44218	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
Rv1460	Rv1460	CCP44219	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1461	Rv1461	CCP44220	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
Rv1462	Rv1462	CCP44221	protein_coding	0	0	2	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1
Rv1463	Rv1463	CCP44222	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
Rv1465	Rv1465	CCP44224	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Rv1466	Rv1466	CCP44225	protein_coding	0	1	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3
Rv1473	Rv1473	CCP44232	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1473A	Rv1473A	CCP44233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1474c	Rv1474c	CCP44234	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1476	Rv1476	CCP44236	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Rv1478	Rv1478	CCP44238	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Rv1480	Rv1480	CCP44240	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1481	Rv1481	CCP44241	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1482c	Rv1482c	CCP44242	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1486c	Rv1486c	CCP44246	protein_coding	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
Rv1487	Rv1487	CCP44247	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1488	Rv1488	CCP44248	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1489	Rv1489	CCP44249	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1489A	Rv1489A	CCP44250	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1490	Rv1490	CCP44251	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1491c	Rv1491c	CCP44252	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1496	Rv1496	CCP44257	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1498A	Rv1498A	CCP44260	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1498c	Rv1498c	CCP44259	protein_coding	0	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
Rv1499	Rv1499	CCP44261	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1500	Rv1500	CCP44262	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1501	Rv1501	CCP44263	protein_coding	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2
Rv1502	Rv1502	CCP44264	protein_coding	0	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
Rv1503c	Rv1503c	CCP44265	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
Rv1504c	Rv1504c	CCP44266	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1505c	Rv1505c	CCP44267	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1506c	Rv1506c	CCP44268	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1507A	Rv1507A	CCP44270	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1507c	Rv1507c	CCP44269	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1508A	Rv1508A	CCP44272	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1508c	Rv1508c	CCP44271	protein_coding	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0
Rv1509	Rv1509	CCP44273	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1510	Rv1510	CCP44274	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1513	Rv1513	CCP44277	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Rv1514c	Rv1514c	CCP44278	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Rv1515c	Rv1515c	CCP44279	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1516c	Rv1516c	CCP44280	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Rv1517	Rv1517	CCP44281	protein_coding	0	0	1	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2
Rv1518	Rv1518	CCP44282	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1519	Rv1519	CCP44283	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1520	Rv1520	CCP44284	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Rv1523	Rv1523	CCP44287	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1524	Rv1524	CCP44288	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1526c	Rv1526c	CCP44290	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1531	Rv1531	CCP44295	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1532c	Rv1532c	CCP44296	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1533	Rv1533	CCP44297	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1534	Rv1534	CCP44298	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1535	Rv1535	CCP44299	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1540	Rv1540	CCP44304	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1543	Rv1543	CCP44307	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1544	Rv1544	CCP44308	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1545	Rv1545	CCP44309	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv1546	Rv1546	CCP44310	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Rv1556	Rv1556	CCP44320	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
Rv1558	Rv1558	CCP44322	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
Rv1565c	Rv1565c	CCP44329	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1566c	Rv1566c	CCP44330	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1567c	Rv1567c	CCP44331	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1571	Rv1571	CCP44335	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
Rv1572c	Rv1572c	CCP44336	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6
Rv1573	Rv1573	CCP44337	protein_coding	0	1	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1	1
Rv1574	Rv1574	CCP44338	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
Rv1575	Rv1575	CCP44339	protein_coding	1	0	0	6	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2
Rv1576c	Rv1576c	CCP44340	protein_coding	0	0	2	5	0	0	0	0	3	0	2	0	0	0	0	0	0	0	2
Rv1577c	Rv1577c	CCP44341	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
Rv1578c	Rv1578c	CCP44342	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
Rv1579c	Rv1579c	CCP44343	protein_coding	0	0	1	7	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2
Rv1580c	Rv1580c	CCP44344	protein_coding	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4
Rv1581c	Rv1581c	CCP44345	protein_coding	1	0	0	8	0	0	0	0	5	1	0	0	0	0	0	0	0	0	3
Rv1582c	Rv1582c	CCP44346	protein_coding	0	0	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	0	14
Rv1583c	Rv1583c	CCP44347	protein_coding	0	0	0	18	0	0	0	0	4	0	0	0	0	0	0	0	0	0	14
Rv1584c	Rv1584c	CCP44348	protein_coding	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14
Rv1585c	Rv1585c	CCP44349	protein_coding	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14
Rv1586c	Rv1586c	CCP44350	protein_coding	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17
Rv1587c	Rv1587c	CCP44351	protein_coding	0	1	2	16	0	0	0	0	2	0	2	0	0	0	0	0	0	1	14
Rv1588c	Rv1588c	CCP44352	protein_coding	0	6	4	8	0	0	0	0	4	0	4	0	0	0	0	0	0	6	4
Rv1590	Rv1590	CCP44354	protein_coding	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14
Rv1591	Rv1591	CCP44355	protein_coding	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	14
Rv1592c	Rv1592c	CCP44356	protein_coding	1	1	1	15	0	0	0	0	14	1	1	0	0	0	0	0	0	1	1
Rv1593c	Rv1593c	CCP44357	protein_coding	0	0	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1
Rv1597	Rv1597	CCP44361	protein_coding	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
Rv1598c	Rv1598c	CCP44362	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Rv1610	Rv1610	CCP44374	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Rv1615	Rv1615	CCP44379	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1616	Rv1616	CCP44380	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1619	Rv1619	CCP44383	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Rv1624c	Rv1624c	CCP44388	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1626	Rv1626	CCP44390	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1627c	Rv1627c	CCP44391	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1628c	Rv1628c	CCP44392	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1632c	Rv1632c	CCP44396	protein_coding	0	1	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2
Rv1634	Rv1634	CCP44398	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
Rv1635c	Rv1635c	CCP44399	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1
Rv1637c	Rv1637c	CCP44401	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1638A	Rv1638A	CCP44403	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1639c	Rv1639c	CCP44404	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2
Rv1645c	Rv1645c	CCP44410	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv1647	Rv1647	CCP44412	protein_coding	0	0	1	5	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3
Rv1648	Rv1648	CCP44413	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv1667c	Rv1667c	CCP44432	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1668c	Rv1668c	CCP44433	protein_coding	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Rv1669	Rv1669	CCP44434	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1670	Rv1670	CCP44435	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1671	Rv1671	CCP44436	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1672c	Rv1672c	CCP44437	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1673c	Rv1673c	CCP44438	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1674c	Rv1674c	CCP44439	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1676	Rv1676	CCP44441	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Rv1678	Rv1678	CCP44443	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1680	Rv1680	CCP44445	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1682	Rv1682	CCP44447	protein_coding	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1
Rv1683	Rv1683	CCP44448	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Rv1684	Rv1684	CCP44449	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1685c	Rv1685c	CCP44450	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1686c	Rv1686c	CCP44451	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
Rv1687c	Rv1687c	CCP44452	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1691	Rv1691	CCP44456	protein_coding	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Rv1692	Rv1692	CCP44457	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1693	Rv1693	CCP44458	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1697	Rv1697	CCP44462	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1700	Rv1700	CCP44465	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1
Rv1701	Rv1701	CCP44466	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
Rv1702c	Rv1702c	CCP44467	protein_coding	0	0	1	5	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3
Rv1703c	Rv1703c	CCP44468	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Rv1706A	Rv1706A	CCP44472	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Rv1707	Rv1707	CCP44473	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Rv1708	Rv1708	CCP44474	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1711	Rv1711	CCP44477	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
Rv1714	Rv1714	CCP44480	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1
Rv1716	Rv1716	CCP44482	protein_coding	0	0	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2
Rv1717	Rv1717	CCP44483	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Rv1718	Rv1718	CCP44484	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
Rv1719	Rv1719	CCP44485	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
Rv1722	Rv1722	CCP44488	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
Rv1723	Rv1723	CCP44489	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1724c	Rv1724c	CCP44490	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2
Rv1725c	Rv1725c	CCP44491	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1726	Rv1726	CCP44492	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
Rv1727	Rv1727	CCP44493	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Rv1728c	Rv1728c	CCP44494	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Rv1729c	Rv1729c	CCP44495	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Rv1730c	Rv1730c	CCP44496	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Rv1732c	Rv1732c	CCP44498	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Rv1733c	Rv1733c	CCP44499	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Rv1734c	Rv1734c	CCP44500	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
